"CONTINENT","LOCATION","DATE_","POPULATION","NEW_VACCINATIONS","ROLLING_PPL_VACC","PERCENT_VACCINATED"
"Asia","Afghanistan",19-NOV-20,38928341,"",,
"Asia","Afghanistan",20-NOV-20,38928341,"",,
"Asia","Afghanistan",21-NOV-20,38928341,"",,
"Asia","Afghanistan",22-NOV-20,38928341,"",,
"Asia","Afghanistan",23-NOV-20,38928341,"",,
"Asia","Afghanistan",24-NOV-20,38928341,"",,
"Asia","Afghanistan",25-NOV-20,38928341,"",,
"Asia","Afghanistan",26-NOV-20,38928341,"",,
"Asia","Afghanistan",27-NOV-20,38928341,"",,
"Asia","Afghanistan",28-NOV-20,38928341,"",,
"Asia","Afghanistan",29-NOV-20,38928341,"",,
"Asia","Afghanistan",30-NOV-20,38928341,"",,
"Asia","Afghanistan",01-DEC-20,38928341,"",,
"Asia","Afghanistan",02-DEC-20,38928341,"",,
"Asia","Afghanistan",03-DEC-20,38928341,"",,
"Asia","Afghanistan",04-DEC-20,38928341,"",,
"Asia","Afghanistan",05-DEC-20,38928341,"",,
"Asia","Afghanistan",06-DEC-20,38928341,"",,
"Asia","Afghanistan",07-DEC-20,38928341,"",,
"Asia","Afghanistan",08-DEC-20,38928341,"",,
"Asia","Afghanistan",09-DEC-20,38928341,"",,
"Asia","Afghanistan",10-DEC-20,38928341,"",,
"Asia","Afghanistan",11-DEC-20,38928341,"",,
"Asia","Afghanistan",12-DEC-20,38928341,"",,
"Asia","Afghanistan",13-DEC-20,38928341,"",,
"Asia","Afghanistan",14-DEC-20,38928341,"",,
"Asia","Afghanistan",15-DEC-20,38928341,"",,
"Asia","Afghanistan",16-DEC-20,38928341,"",,
"Asia","Afghanistan",17-DEC-20,38928341,"",,
"Asia","Afghanistan",18-DEC-20,38928341,"",,
"Asia","Afghanistan",19-DEC-20,38928341,"",,
"Asia","Afghanistan",20-DEC-20,38928341,"",,
"Asia","Afghanistan",21-DEC-20,38928341,"",,
"Asia","Afghanistan",22-DEC-20,38928341,"",,
"Asia","Afghanistan",23-DEC-20,38928341,"",,
"Asia","Afghanistan",24-DEC-20,38928341,"",,
"Asia","Afghanistan",25-DEC-20,38928341,"",,
"Asia","Afghanistan",26-DEC-20,38928341,"",,
"Asia","Afghanistan",27-DEC-20,38928341,"",,
"Asia","Afghanistan",28-DEC-20,38928341,"",,
"Asia","Afghanistan",29-DEC-20,38928341,"",,
"Asia","Afghanistan",30-DEC-20,38928341,"",,
"Asia","Afghanistan",31-DEC-20,38928341,"",,
"Asia","Afghanistan",01-JAN-21,38928341,"",,
"Asia","Afghanistan",02-JAN-21,38928341,"",,
"Asia","Afghanistan",03-JAN-21,38928341,"",,
"Asia","Afghanistan",04-JAN-21,38928341,"",,
"Asia","Afghanistan",05-JAN-21,38928341,"",,
"Asia","Afghanistan",06-JAN-21,38928341,"",,
"Asia","Afghanistan",07-JAN-21,38928341,"",,
"Asia","Afghanistan",08-JAN-21,38928341,"",,
"Asia","Afghanistan",09-JAN-21,38928341,"",,
"Asia","Afghanistan",10-JAN-21,38928341,"",,
"Asia","Afghanistan",11-JAN-21,38928341,"",,
"Asia","Afghanistan",12-JAN-21,38928341,"",,
"Asia","Afghanistan",13-JAN-21,38928341,"",,
"Asia","Afghanistan",14-JAN-21,38928341,"",,
"Asia","Afghanistan",15-JAN-21,38928341,"",,
"Asia","Afghanistan",16-JAN-21,38928341,"",,
"Asia","Afghanistan",17-JAN-21,38928341,"",,
"Asia","Afghanistan",18-JAN-21,38928341,"",,
"Asia","Afghanistan",19-JAN-21,38928341,"",,
"Asia","Afghanistan",20-JAN-21,38928341,"",,
"Asia","Afghanistan",21-JAN-21,38928341,"",,
"Asia","Afghanistan",22-JAN-21,38928341,"",,
"Asia","Afghanistan",23-JAN-21,38928341,"",,
"Asia","Afghanistan",24-JAN-21,38928341,"",,
"Asia","Afghanistan",25-JAN-21,38928341,"",,
"Asia","Afghanistan",26-JAN-21,38928341,"",,
"Asia","Afghanistan",27-JAN-21,38928341,"",,
"Asia","Afghanistan",28-JAN-21,38928341,"",,
"Asia","Afghanistan",29-JAN-21,38928341,"",,
"Asia","Afghanistan",30-JAN-21,38928341,"",,
"Asia","Afghanistan",31-JAN-21,38928341,"",,
"Asia","Afghanistan",01-FEB-21,38928341,"",,
"Asia","Afghanistan",02-FEB-21,38928341,"",,
"Asia","Afghanistan",03-FEB-21,38928341,"",,
"Asia","Afghanistan",04-FEB-21,38928341,"",,
"Asia","Afghanistan",05-FEB-21,38928341,"",,
"Asia","Afghanistan",06-FEB-21,38928341,"",,
"Asia","Afghanistan",07-FEB-21,38928341,"",,
"Asia","Afghanistan",08-FEB-21,38928341,"",,
"Asia","Afghanistan",09-FEB-21,38928341,"",,
"Asia","Afghanistan",10-FEB-21,38928341,"",,
"Asia","Afghanistan",11-FEB-21,38928341,"",,
"Asia","Afghanistan",12-FEB-21,38928341,"",,
"Asia","Afghanistan",13-FEB-21,38928341,"",,
"Asia","Afghanistan",14-FEB-21,38928341,"",,
"Asia","Afghanistan",15-FEB-21,38928341,"",,
"Asia","Afghanistan",16-FEB-21,38928341,"",,
"Asia","Afghanistan",17-FEB-21,38928341,"",,
"Asia","Afghanistan",18-FEB-21,38928341,"",,
"Asia","Afghanistan",19-FEB-21,38928341,"",,
"Asia","Afghanistan",20-FEB-21,38928341,"",,
"Asia","Afghanistan",21-FEB-21,38928341,"",,
"Asia","Afghanistan",22-FEB-21,38928341,"",,
"Asia","Afghanistan",23-FEB-21,38928341,"",,
"Asia","Afghanistan",24-FEB-21,38928341,"",,
"Asia","Afghanistan",25-FEB-21,38928341,"",,
"Asia","Afghanistan",26-FEB-21,38928341,"",,
"Asia","Afghanistan",27-FEB-21,38928341,"",,
"Asia","Afghanistan",28-FEB-21,38928341,"",,
"Asia","Afghanistan",01-MAR-21,38928341,"",,
"Asia","Afghanistan",02-MAR-21,38928341,"",,
"Asia","Afghanistan",03-MAR-21,38928341,"",,
"Asia","Afghanistan",04-MAR-21,38928341,"",,
"Asia","Afghanistan",05-MAR-21,38928341,"",,
